Temperature	Standard_1_1	Standard_1_2	Standard_1_3	Standard_2_1	Standard_2_2	Standard_2_3	Standard_3_1	Standard_3_2	Standard_3_3	Standard_4_1	Standard_4_2	Standard_4_3	Standard_5_1	Standard_5_2	Standard_5_3	Standard_6_1	Standard_6_2	Standard_6_3	Standard_7_1	Standard_7_2	Standard_7_3	Standard_8_1	Standard_8_2	Standard_8_3	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10
71.70	3263.72	3231.03	3136.82	3206.06	3258.28	3131.31	3174.74	3084.83	3060.73	3141.52	3207.86	3038.96	3193.52	3191.78	3148.55	3133.42	3131.85	3001.15	3188.05	3109.37	3183.14	3261.08	3160.19	3127.47	2885.31	2988.45	2737.57	3070.79	3118.64	2890.47	3197.26	3084.99	3061.27	2832.98
71.80	3262.27	3229.24	3135.29	3203.82	3256.65	3129.88	3173.06	3083.54	3059.31	3139.96	3205.73	3037.34	3191.60	3190.06	3147.02	3131.68	3130.16	2999.50	3186.23	3107.99	3181.95	3259.33	3158.14	3126.00	2884.03	2987.31	2737.04	3069.29	3117.56	2889.45	3195.63	3083.56	3059.29	2831.87
71.90	3260.54	3227.76	3133.62	3201.56	3254.94	3128.39	3171.49	3082.10	3057.71	3138.25	3203.74	3035.80	3189.60	3188.51	3145.43	3129.89	3128.72	2998.03	3184.12	3106.40	3180.48	3257.41	3156.06	3124.36	2882.72	2986.08	2736.21	3067.87	3116.62	2888.53	3194.00	3082.18	3057.47	2830.71
72.00	3258.90	3226.52	3132.06	3199.38	3253.35	3126.88	3169.70	3080.84	3056.12	3136.56	3201.89	3034.26	3187.80	3187.04	3143.85	3128.18	3127.13	2996.47	3182.21	3104.71	3178.89	3255.68	3154.26	3122.53	2881.47	2984.87	2735.44	3066.41	3115.54	2887.62	3192.51	3080.86	3055.68	2829.57
72.10	3257.25	3225.40	3130.47	3197.39	3251.60	3125.35	3167.75	3079.50	3054.76	3134.94	3200.12	3032.54	3186.07	3185.54	3141.97	3126.49	3125.49	2994.60	3180.45	3103.21	3177.30	3253.87	3152.93	3120.44	2880.15	2983.83	2734.52	3065.13	3114.34	2886.88	3190.95	3079.35	3053.84	2828.62
72.20	3255.67	3224.00	3128.91	3195.86	3250.15	3123.70	3166.03	3078.14	3053.39	3133.36	3198.29	3030.82	3184.47	3183.96	3140.07	3124.74	3124.01	2993.00	3178.62	3101.60	3175.56	3252.04	3151.69	3118.39	2878.93	2982.76	2733.52	3063.68	3112.97	2885.99	3189.31	3078.17	3052.32	2827.70
72.30	3253.62	3222.51	3127.59	3194.64	3248.42	3122.10	3164.03	3076.61	3051.86	3131.81	3196.43	3029.26	3182.56	3182.28	3138.35	3122.77	3122.57	2991.66	3177.08	3099.81	3173.96	3250.41	3150.35	3116.33	2877.57	2981.56	2732.36	3062.35	3111.33	2884.88	3187.79	3076.95	3050.76	2826.70
72.40	3251.96	3220.88	3126.47	3193.34	3246.94	3120.56	3162.19	3075.00	3050.52	3130.23	3194.73	3027.71	3180.76	3180.72	3136.75	3120.89	3121.01	2990.28	3175.87	3098.17	3172.36	3248.80	3149.07	3114.52	2876.46	2980.28	2731.26	3060.90	3109.52	2883.54	3186.08	3075.75	3049.13	2825.65
72.50	3250.31	3219.10	3125.08	3192.03	3245.34	3118.96	3160.46	3073.12	3049.06	3128.64	3193.13	3026.06	3179.02	3179.05	3135.26	3119.22	3119.65	2989.00	3174.47	3096.67	3170.88	3247.13	3147.67	3113.02	2875.21	2978.83	2729.94	3059.52	3107.64	2882.19	3184.22	3074.57	3047.62	2824.70
72.60	3248.73	3217.30	3123.52	3190.68	3243.91	3117.40	3158.70	3071.26	3047.46	3126.96	3191.39	3024.75	3177.42	3177.48	3133.96	3117.55	3118.11	2987.93	3172.93	3095.25	3169.38	3245.59	3146.09	3111.83	2873.97	2977.12	2728.88	3058.08	3105.92	2880.57	3182.54	3073.26	3046.19	2823.55
72.70	3246.96	3215.66	3121.96	3189.14	3242.30	3116.09	3156.72	3069.51	3045.83	3125.34	3189.58	3023.38	3175.76	3175.99	3132.56	3115.99	3116.49	2986.55	3171.35	3093.87	3167.71	3243.96	3144.45	3110.49	2872.67	2975.59	2727.84	3056.54	3104.20	2879.07	3180.94	3071.66	3044.56	2822.24
72.80	3245.52	3214.15	3120.29	3187.72	3240.97	3114.85	3154.90	3067.83	3044.21	3123.58	3187.83	3021.87	3174.35	3174.80	3131.04	3114.39	3115.03	2985.25	3169.42	3092.81	3166.01	3242.24	3142.82	3109.41	2871.43	2974.04	2726.74	3054.82	3102.48	2877.60	3179.10	3070.17	3043.08	2820.91
72.90	3243.69	3212.67	3118.53	3186.36	3239.34	3113.72	3152.92	3066.37	3042.58	3122.06	3186.06	3020.29	3172.80	3173.54	3129.42	3112.77	3113.51	2983.82	3167.24	3091.73	3164.54	3240.42	3141.26	3108.15	2870.13	2972.47	2725.67	3053.21	3100.82	2876.35	3177.56	3068.60	3041.65	2819.40
73.00	3241.62	3211.19	3116.92	3184.99	3237.79	3112.59	3150.93	3065.11	3041.22	3120.44	3184.18	3018.95	3171.10	3172.34	3127.78	3110.83	3111.72	2982.47	3165.10	3090.56	3163.02	3238.54	3139.82	3106.66	2868.91	2971.15	2724.76	3051.70	3099.29	2875.20	3176.06	3067.09	3040.00	2817.85
73.10	3239.40	3209.62	3115.27	3183.44	3236.24	3111.41	3148.98	3063.87	3039.85	3118.87	3182.51	3017.36	3169.13	3171.22	3126.31	3108.98	3110.07	2981.03	3162.94	3089.29	3161.33	3236.65	3138.49	3104.91	2867.81	2969.89	2723.74	3050.12	3097.71	2874.13	3174.48	3065.90	3038.39	2816.41
73.20	3237.32	3208.09	3113.63	3181.80	3234.74	3110.10	3147.10	3062.47	3038.37	3117.11	3180.72	3015.78	3167.01	3169.97	3125.08	3106.99	3108.45	2979.69	3160.82	3087.98	3159.85	3234.86	3136.96	3103.38	2866.63	2968.57	2722.77	3048.62	3096.18	2873.18	3172.86	3064.90	3037.00	2815.10
73.30	3235.17	3206.27	3111.98	3179.93	3233.05	3108.79	3145.36	3060.93	3037.03	3115.36	3178.84	3014.19	3164.89	3168.47	3124.00	3105.46	3106.59	2978.21	3158.87	3086.55	3158.13	3233.07	3135.62	3101.68	2865.49	2967.35	2721.84	3047.30	3094.83	2872.37	3171.60	3063.75	3035.43	2814.01
73.40	3233.15	3204.29	3110.22	3178.13	3231.34	3107.24	3143.64	3058.91	3035.46	3113.33	3176.96	3012.47	3162.78	3166.93	3122.96	3103.91	3104.77	2976.84	3157.01	3085.08	3156.23	3231.49	3134.28	3099.97	2864.11	2966.28	2720.99	3045.75	3093.42	2871.34	3170.19	3062.44	3033.96	2813.20
73.50	3231.41	3202.61	3108.53	3176.18	3229.69	3105.89	3142.05	3057.04	3033.70	3111.55	3175.09	3010.71	3160.65	3165.17	3121.84	3102.60	3102.97	2975.33	3155.26	3083.69	3154.32	3229.79	3132.74	3098.29	2862.75	2965.16	2720.11	3044.00	3092.08	2870.16	3168.92	3061.13	3032.78	2812.37
73.60	3229.76	3201.08	3107.05	3174.54	3227.89	3104.55	3140.52	3055.12	3032.01	3109.83	3173.11	3009.07	3158.71	3163.11	3120.38	3101.16	3101.19	2973.79	3153.69	3082.34	3152.65	3228.01	3131.33	3096.76	2861.40	2964.06	2719.17	3042.27	3090.79	2869.14	3167.69	3059.50	3031.50	2811.58
73.70	3228.00	3199.39	3105.51	3173.07	3226.05	3103.15	3138.98	3053.33	3030.46	3108.24	3171.39	3007.50	3156.86	3161.20	3118.95	3099.75	3099.48	2972.33	3152.28	3081.16	3150.89	3226.22	3130.41	3095.08	2860.19	2962.71	2718.36	3040.70	3089.43	2867.93	3166.46	3057.72	3030.16	2810.73
73.80	3226.23	3197.93	3103.88	3171.73	3224.25	3101.50	3137.20	3051.71	3028.82	3106.76	3169.76	3006.01	3154.99	3159.41	3117.38	3098.07	3097.93	2970.96	3150.88	3079.83	3149.49	3224.42	3129.27	3093.48	2858.74	2961.31	2717.74	3038.91	3087.96	2866.63	3164.99	3056.26	3028.90	2809.87
73.90	3224.47	3196.71	3102.39	3170.32	3222.61	3100.00	3135.47	3050.49	3027.51	3105.44	3168.14	3004.81	3153.26	3157.53	3115.78	3096.34	3096.33	2969.66	3149.51	3078.60	3148.32	3222.53	3128.06	3091.99	2857.61	2959.82	2717.09	3037.29	3086.54	2865.58	3163.51	3055.12	3027.32	2808.82
